Datetime,predicted_Zone1,predicted_Zone2,predicted_Zone3
2/12/2017 14:40,27943.992,17856.264,12701.596
11/22/2017 15:30,28003.1,19233.807,14435.469
10/15/2017 1:50,31720.01,20000.28,17104.172
9/11/2017 23:00,35413.023,23344.389,21379.918
12/26/2017 1:20,27281.979,17905.373,15251.78
9/7/2017 16:30,33050.78,22346.82,18071.178
10/9/2017 18:20,34102.84,22607.639,19551.707
3/7/2017 7:10,26525.312,17477.92,15457.4375
1/1/2017 0:40,26265.166,18088.197,15443.794
5/18/2017 22:00,34188.234,22249.928,19854.594
5/25/2017 4:40,28514.025,18605.092,14721.842
2/6/2017 9:50,29075.934,20105.045,13960.647
12/18/2017 23:00,29547.643,18718.047,15588.792
4/22/2017 22:20,30459.193,19259.607,16039.462
11/29/2017 19:20,31200.016,20280.643,16381.41
6/30/2017 18:00,40400.832,25712.572,24600.836
7/10/2017 16:40,46808.887,29326.084,31021.523
8/29/2017 4:20,34849.152,22367.607,22486.46
9/22/2017 6:30,34959.996,23219.99,22655.951
8/3/2017 19:10,39877.3,25736.857,27933.709
3/4/2017 13:20,25199.152,17140.65,11324.251
6/20/2017 20:30,35712.613,23021.578,21893.002
9/2/2017 2:40,33839.816,22126.893,21159.309
3/30/2017 3:50,29147.705,18946.799,15441.789
2/27/2017 9:50,28510.607,19118.598,12211.964
8/14/2017 12:20,39439.977,24714.367,22892.613
5/14/2017 7:40,29732.537,19904.125,14292.423
11/17/2017 13:20,30033.78,19730.688,14845.446
4/14/2017 18:40,29980.2,19532.932,14657.888
5/27/2017 0:00,30803.295,19873.006,17237.543
8/7/2017 8:40,34553.082,22194.465,21227.29
12/5/2017 18:10,31623.342,21275.654,16625.178
4/1/2017 21:00,31014.742,19662.855,16372.311
10/21/2017 0:20,31583.166,20370.89,18195.078
4/5/2017 18:20,30585.262,20175.322,15171.45
6/12/2017 16:50,34366.18,23473.035,19305.836
6/24/2017 13:10,34226.027,21939.791,19272.992
3/19/2017 11:00,28681.254,19065.178,13119.135
6/14/2017 21:10,34572.324,22917.236,20135.557
11/22/2017 5:20,27317.682,18234.955,13505.039
11/12/2017 17:50,33219.62,21677.875,18600.725
12/12/2017 21:50,32553.525,21954.303,17513.168
8/21/2017 0:40,35674.066,22922.518,23585.102
11/2/2017 17:30,34658.87,23200.232,20142.111
9/16/2017 17:10,33812.766,22396.562,21547.982
7/16/2017 8:00,32959.254,21400.205,20644.824
9/15/2017 21:20,36673.555,24308.773,22964.238
11/5/2017 1:00,30801.338,19459.057,16257.281
1/27/2017 15:10,30974.113,22009.158,14202.007
8/18/2017 11:40,31471.666,20822.729,16583.82
8/20/2017 14:50,34211.156,22069.967,20845.445
5/8/2017 15:00,33421.363,22487.186,16798.297
7/5/2017 10:30,34756.934,22404.604,20208.898
12/28/2017 3:10,30098.031,19113.834,15806.872
7/23/2017 7:30,32270.195,21264.943,19278.506
2/21/2017 3:20,26627.215,17440.264,15435.124
4/29/2017 0:10,31576.459,20876.822,16633.334
2/17/2017 8:50,28197.643,18437.807,14555.041
5/17/2017 21:20,31769.748,20497.326,18430.07
1/9/2017 8:50,31280.41,20827.885,16014.737
3/23/2017 9:40,28213.795,19269.227,12009.162
7/21/2017 23:50,40855.727,27079.428,29707.098
11/15/2017 23:10,31197.889,20004.834,16431.48
5/11/2017 12:20,32782.695,21052.646,17932.492
5/23/2017 4:00,30419.088,19126.371,16050.464
12/23/2017 18:40,29796.021,18973.734,15668.025
1/13/2017 19:20,30680.916,19651.346,16095.954
7/28/2017 16:00,48243.31,30115.375,31754.766
9/21/2017 8:20,31109.752,20532.414,18243.938
11/17/2017 20:30,30795.152,19520.506,16230.769
2/3/2017 23:40,30623.994,20203.467,16039.671
12/30/2017 23:30,26863.13,18246.336,15317.651
12/26/2017 22:30,32297.805,21806.018,17255.492
11/3/2017 16:50,33194.957,21785.541,18505.203
4/8/2017 13:50,28115.104,17462.12,12762.421
5/20/2017 18:20,31846.225,21281.084,16557.125
10/19/2017 20:30,32367.6,20828.482,19180.957
9/15/2017 21:10,36790.05,24408.494,23096.602
12/29/2017 21:50,31474.34,21346.691,16519.414
4/26/2017 14:40,32152.934,21994.037,15555.003
9/28/2017 16:50,31830.752,20762.408,18687.453
4/24/2017 3:10,30952.262,19842.338,16262.771
9/17/2017 12:20,33366.645,21307.83,18202.865
7/11/2017 6:20,34578.652,22954.111,22229.375
3/20/2017 2:30,28217.033,17910.418,15267.452
4/27/2017 23:10,31418.227,20182.393,16600.428
6/23/2017 21:20,35734.418,23515.412,23654.695
2/26/2017 9:40,28497.057,19756.701,12356.876
7/31/2017 19:00,36146.934,23358.697,23519.754
7/27/2017 15:00,41512.348,26422.387,25326.85
1/20/2017 4:20,28827.354,19561.361,15504.079
6/14/2017 14:00,30645.225,20343.578,15267.827
8/28/2017 18:50,34764.125,22394.727,22601.447
8/17/2017 16:10,36092.293,24346.086,20114.53
2/24/2017 3:50,30801.99,19898.975,16138.455
7/19/2017 7:10,32790.668,21740.688,20149.918
1/23/2017 2:40,27269.883,17875.387,15244.764
9/22/2017 2:10,36934.16,24696.096,25120.336
7/15/2017 19:20,34522.215,22426.646,22362.844
9/15/2017 2:00,35351.227,23582.533,21174.812
10/20/2017 5:20,30335.166,19603.191,16693.352
1/18/2017 6:50,31728.867,21764.729,16665.215
12/20/2017 20:30,31745.365,20468.537,16903.002
3/2/2017 14:30,30600.129,20948.264,14694.786
8/4/2017 12:00,35333.668,23192.062,21357.734
1/9/2017 11:00,28801.922,19881.805,12673.165
8/7/2017 18:30,35999.598,23175.455,23398.71
10/5/2017 3:10,36149.18,23600.174,24200.14
2/11/2017 0:40,27568.002,18110.057,13738.798
4/6/2017 2:40,31684.016,20801.736,16732.25
7/19/2017 4:40,35487.32,23377.832,23337.26
6/24/2017 16:30,32841.84,21103.475,18370.785
6/17/2017 9:50,29905.88,20328.498,14627.13
4/16/2017 9:10,28681.041,17039.104,11641.187
11/7/2017 3:50,33581.816,21533.354,19240.182
1/15/2017 13:30,31237.111,20557.385,14805.214
1/10/2017 10:40,28409.72,19369.799,12587.856
5/8/2017 5:50,29773.75,18916.623,15661.983
9/6/2017 19:10,35292.496,22413.074,21679.29
10/13/2017 11:20,33137.477,22484.58,17245.98
9/29/2017 8:00,29577.373,19252.166,15994.529
1/4/2017 7:00,26205.174,17649.295,15744.708
5/10/2017 7:20,28393.635,18567.291,14747.847
1/22/2017 13:00,29552.1,19720.445,12757.947
12/8/2017 13:00,29817.486,20924.568,13020.093
9/12/2017 21:20,35550.62,23528.205,21507.812
6/2/2017 23:00,33526.254,21090.428,19368.645
5/31/2017 18:20,30613.604,20192.305,16890.863
9/29/2017 19:50,34172.184,22074.572,21593.04
2/6/2017 17:00,29388.24,20576.01,12373.608
10/1/2017 9:40,27198.791,18103.428,13549.945
2/16/2017 7:50,30621.086,20119.014,16020.848
2/23/2017 5:40,31666.639,21263.373,16704.746
8/28/2017 3:30,35024.742,22482.727,22711.988
8/6/2017 20:10,37511.926,24072.877,25971.629
8/12/2017 14:40,46732.69,29224.742,29007.268
3/13/2017 2:20,27948.83,17836.145,15215.63
10/17/2017 19:20,33284.293,21095.475,18989.23
8/17/2017 14:20,39867.367,25770.111,22254.686
5/27/2017 16:50,29909.268,19545.258,15761.991
6/7/2017 2:20,32993.55,20635.732,18746.5
8/20/2017 10:50,32629.17,21214.398,19755.043
10/29/2017 14:40,30207.322,19636.88,16273.425
10/10/2017 14:50,32887.902,22109.096,17293.402
10/2/2017 23:00,34172.043,22119.936,21591.432
6/10/2017 6:10,35378.074,23413.908,21175.28
5/9/2017 23:10,31348.129,20201.396,17899.926
3/19/2017 21:10,29569.598,19153.598,15548.512
1/14/2017 14:40,32242.852,20323.156,15186.022
7/28/2017 7:40,34521.527,22433.83,21924.168
7/26/2017 18:50,47179.44,29978.803,33529.613
7/20/2017 10:40,39733.945,25065.912,24198.406
5/3/2017 12:40,40287.152,25321.842,20831.031
10/28/2017 16:20,30104.283,19845.459,16905.19
4/28/2017 7:00,28017.967,18247.61,13088.724
